ProductID,Title,Description,Reference,CostExGST,GST,TOTAL,DisbursementID,CostCenter,GLCode,TaxCode,Narrative,OnlineServiceCode,AllowChanges,BillingDetailsNameRequired,BillingDetailsPostRequired,BillingDetailsEmailRequired,BillingDetailsPhoneRequired,BillingDetailsFaxRequired,DeliveryPost,DeliveryEmail
2c1dca2d-540b-4415-87a4-3746b25db3f6,Land Orders 1865 to 1866,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0c17bf4b-b3a7-4959-a051-dbf0f2852df2,Mackay Hospital Hospital Admissions 1891-1908,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
596eb9a4-fbb7-4b12-b517-b17f5ecd760a,Military Service Records 1899 to 1901,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
acf229d2-38a2-4728-b21e-037a6309d69d,Mineral leases 1871-1940,,,$16.86,$1.69,$18.55,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
f066bb46-b02f-40bb-a8b2-48d3c937acf7,Miners rights 1874-1880,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
9793ea4a-3ba9-4b2b-a475-b7471f2de246,Naturalisations 1851-1908,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
fb4b3142-fb2b-4687-bdba-886fe7fb101e,Nominated immigrants 1908-1922,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
fb8cdd9a-7424-498f-a4de-1e798bae5bda,"Nominated immigrants, Maryborough 1904 to 1907",,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
d1cd8af1-8ab8-4cd6-9173-5ca08f0aa38a,Nurses examinations 1912-1925,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1466eb48-f9a7-4931-9619-b71fca65965b,Oronsay immigration 1925-1972,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
bcec80cf-dc94-46b3-96e8-c19e088d7f90,Passage certificates 1887-1906,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0422c25d-c019-4f42-b832-4a4e5f029543,Passport clearances 1923-1940,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
91d354f7-8339-4a37-aa9b-fd39f3f1fec3,"Prisoners admitted, Toowoomba 1895 to 1906",,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
e366d395-b1c3-4d01-a110-5950773f6e24,"Prisoners discharged, Toowoomba 1869-1879",,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
c44ae161-99af-4737-92c4-82c64605855e,"Prisoners tried, Toowoomba 1864 to 1903",,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
740fe5a4-47a4-43d9-9202-534e81df9b84,"Rations issued to immigrants, Maryborough 1875-1884",,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
df522684-18fb-49a5-8344-6e546f210862,Register of court fees 1885-1908,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ef260c51-032d-4af0-a33a-d04594a01b12,Register of Immigrants 1864-1878,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ea485fbd-cce7-4af5-ad37-52e4bf4ce4e3,"Register of immigrants, Toowoomba, 1880-1888",,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
7be18ca0-4394-45c6-abb8-6bacca56af4f,Register of land sold 1842-1859,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6c4527bb-1d5a-498b-a862-7f946d9bc0fc,Register of lands 1861-1868,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2fa803fc-79df-40aa-aa29-f6c35855b669,Register of lands sold 1849-1861,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1a793d06-62b7-432b-8fe6-b593976238a8,Register of Pastoral Holdings 1863-1880,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1459eb43-a5ca-4e27-8450-cc5190bc000e,Register of Seamen 1882-1919,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
7cd3949d-2a5e-4ee7-8dfe-7d4ec1c73102,Registers of immigrants 1882-1938,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
8b53adf6-1d36-4847-9115-5579ee10803a,"Registers of immigrants, Brisbane 1885-1917",,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
4e2af08e-4add-4106-9d3b-1788a840b251,Rents Payable Pastoral Runs Index 1860-1911,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
fb58ed73-c486-4f47-9cc9-c6131a01db26,Soldier Settlement 1917-1929,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
c0025405-fd91-4d6a-b795-b1da8f89c711,St Helena prisoners 1863-1936,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
d0f385e4-280b-41d4-8e2d-1e2e7c200da3,Teachers 1860-1905,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ca7b9c06-467c-4c94-8e83-545776b47d85,Transfer of runs 1848-1874,,,$6.27,$0.63,$6.90,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
602604a6-dc8d-4669-b0f8-66f1e8c77a29,Trustee files 1889-1929,,,$16.86,$1.69,$18.55,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
3f618f62-71fd-4128-8e51-c68388c73bb0,Wills 1857-1940,,,$16.86,$1.69,$18.55,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
